"date","time","size","version","os","country","ip_id"
"2020-04-24","16:38:56",87666013,"4.0.0","win","CH",170
"2020-04-24","16:38:50",81870495,"3.6.3","osx","PE",171
"2020-04-24","16:38:58",82917825,"3.5.3","win","US",4
"2020-04-24","16:39:00",18283754,"4.0.0","win","CN",172
"2020-04-24","16:39:03",86600887,"3.6.3patched","win","US",4
"2020-04-24","16:39:05",81865371,"3.6.3","osx","NO",173
"2020-04-24","16:39:34",87564167,"4.0.0","win",NA,3
"2020-04-24","16:39:36",6298988,"4.0.0","win","US",174
"2020-04-24","16:39:38",81148119,"3.6.3.nn","osx","US",175
"2020-04-24","16:39:40",87665730,"4.0.0","win","NO",176
"2020-04-24","16:39:48",78114104,"3.5.3","osx","US",38
"2020-04-24","16:39:44",72978882,"4.0.0","win","US",25
"2020-04-24","16:39:59",81045836,"latest","osx","US",38
"2020-04-24","16:40:10",87661066,"4.0.0","win",NA,3
"2020-04-24","16:40:03",81865217,"3.6.3","osx","TR",177
"2020-04-24","16:40:04",21315903,"4.0.0","win",NA,3
"2020-04-24","16:40:04",4919524,"4.0.0","win",NA,3
"2020-04-24","16:40:04",5050740,"4.0.0","win",NA,3
"2020-04-24","16:40:25",81774920,"3.6.3","osx","US",14
"2020-04-24","16:40:44",81774920,"3.6.3","osx","US",14
"2020-04-24","16:40:49",86429666,"3.6.3","win","US",178
"2020-04-24","16:40:54",81774920,"3.6.3","osx","US",14
"2020-04-24","16:40:54",81774920,"3.6.3","osx","US",14
"2020-04-24","16:40:51",81774920,"3.6.3","osx","US",14
"2020-04-24","16:40:51",86429666,"3.6.3","win","US",179
"2020-04-24","16:41:00",86429655,"3.6.3","win","US",180
"2020-04-24","16:40:57",81774920,"3.6.3","osx","US",14
"2020-04-24","16:41:05",81774920,"3.6.3","osx","US",14
"2020-04-24","16:41:09",72259565,"4.0.0","win","US",25
"2020-04-24","16:41:15",87564167,"4.0.0","win","CO",181
"2020-04-24","16:41:33",12547094,"4.0.0","win","CA",182
"2020-04-24","16:41:35",547,"3.6.3","win","IN",183
"2020-04-24","16:42:08",81865717,"3.6.3","osx","ES",184
"2020-04-24","16:42:09",87660451,"4.0.0","win","GB",185
"2020-04-24","16:42:15",87660425,"4.0.0","win","IT",186
"2020-04-24","16:42:30",87564156,"4.0.0","win","CA",187
"2020-04-24","16:42:21",81149702,"3.6.3.nn","osx",NA,3
"2020-04-24","16:42:38",81135307,"latest","osx","US",38
"2020-04-24","16:42:35",87564165,"4.0.0","win",NA,3
"2020-04-24","16:42:50",81864722,"3.6.3","osx","TR",177
"2020-04-24","16:42:36",16815374,"4.0.0","win","US",188
"2020-04-24","16:43:04",81774920,"3.6.3","osx","US",14
"2020-04-24","16:43:05",81774910,"3.6.3","osx","US",14
"2020-04-24","16:43:00",87661848,"4.0.0","win","PL",189
"2020-04-24","16:43:06",78114105,"3.5.3","osx","US",14
"2020-04-24","16:43:07",82819526,"3.5.3","win","US",190
"2020-04-24","16:43:01",86429662,"3.6.3","win","US",191
"2020-04-24","16:43:02",81774920,"3.6.3","osx","US",14
"2020-04-24","16:43:21",87661281,"4.0.0","win",NA,3
"2020-04-24","16:43:23",87663978,"4.0.0","win","PE",192
"2020-04-24","16:43:14",87564167,"4.0.0","win","US",193
"2020-04-24","16:43:29",87661090,"4.0.0","win","PE",194
"2020-04-24","17:58:29",87564156,"4.0.0","win","US",195
"2020-04-24","17:58:47",88140698,"4.0.0","osx",NA,3
"2020-04-24","17:58:51",87660408,"4.0.0","win","IT",196
"2020-04-24","17:58:59",81774919,"3.6.3","osx","US",31
"2020-04-24","17:59:01",88140230,"4.0.0","osx",NA,3
"2020-04-24","17:59:05",81774921,"3.6.3","osx","US",14
"2020-04-24","17:59:09",87660962,"4.0.0","win",NA,3
"2020-04-24","17:59:13",81774921,"3.6.3","osx","US",14
"2020-04-24","17:59:16",87668839,"4.0.0patched","win","US",100
