id,host_id,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10186267,31150619,Private room,30,2,2,03/01/2016,0.05,1,0
10190196,14979846,Entire home/apt,60,32,4,28/01/2019,0.16,11,278
10203560,4110458,Entire home/apt,31,31,15,04/02/2019,0.44,3,247
10203916,4110458,Entire home/apt,31,31,7,09/02/2019,0.22,3,303
10205793,51676290,Entire home/apt,120,3,47,23/03/2019,1.27,1,44
10208538,26573584,Private room,35,1,116,19/03/2019,2.97,1,33
10222805,24964305,Entire home/apt,87,3,126,04/04/2019,3.71,1,112
10237654,8848709,Entire home/apt,295,1,1,29/05/2016,0.03,8,365
10238081,15032322,Entire home/apt,153,31,2,29/08/2018,0.23,1,348
10241811,51838891,Entire home/apt,50,31,31,17/10/2016,0.78,3,252
10242542,14668977,Private room,35,5,36,02/08/2017,0.98,1,0
10244297,6099660,Entire home/apt,60,1,32,11/02/2019,0.83,46,170
10245028,34659003,Private room,32,2,6,02/10/2017,0.28,3,9
10245438,52660369,Private room,30,2,3,26/06/2016,0.08,1,0
10250597,9256849,Entire home/apt,58,32,16,04/01/2019,0.42,1,159
10258778,11175625,Entire home/apt,60,32,1,05/02/2018,0.07,7,84
10259512,51883557,Private room,62,2,19,17/03/2019,0.52,2,304
10265669,22197967,Private room,50,31,22,08/03/2019,0.57,3,294
