id,host_id,neighbourhood_group,neighbourhood,latitude,longitude
4239997,22002052,Sant Martí,la Vila Olímpica del Poblenou,41.39328,2.1935
4247487,299462,Gràcia,la Vila de Gràcia,41.3993,2.15819
4256435,18905437,Eixample,Sant Antoni,41.38202,2.16073
4258006,22062164,Horta-Guinardó,Horta,41.43744,2.15792
4274163,22189762,Gràcia,la Vila de Gràcia,41.40141,2.16218
4274290,5414684,Sant Andreu,Navas,41.41709,2.18946
4274545,400416,Gràcia,la Vila de Gràcia,41.4025,2.1525
4278322,18132283,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39389,2.14586
4282501,15065217,Sants-Montjuïc,el Poble Sec,41.37206,2.16225
4283765,299462,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39441,2.14951
4301676,1260560,Eixample,l'Antiga Esquerra de l'Eixample,41.38501,2.15623
4303312,22335573,Sant Andreu,Sant Andreu,41.4309,2.19591
4310497,10231574,Eixample,la Nova Esquerra de l'Eixample,41.38183,2.14846
4310503,10231574,Eixample,la Nova Esquerra de l'Eixample,41.37926,2.14898
4317065,7554930,Eixample,el Fort Pienc,41.39424,2.18037
4332917,14548854,Sant Martí,el Parc i la Llacuna del Poblenou,41.39168,2.18758
4336964,17329184,Eixample,Sant Antoni,41.38402,2.16262
4338525,3038197,Eixample,Sant Antoni,41.37715,2.15393
4339658,3901019,Sants-Montjuïc,el Poble Sec,41.3719,2.16012
4344155,3590196,Eixample,la Dreta de l'Eixample,41.38656,2.16549
4344263,3590196,Eixample,la Dreta de l'Eixample,41.38652,2.16461
4344324,3590196,Eixample,la Dreta de l'Eixample,41.38667,2.16481
4344370,3590196,Eixample,la Dreta de l'Eixample,41.38597,2.16549
4344409,3590196,Eixample,la Dreta de l'Eixample,41.38745,2.1662
4344485,3590196,Eixample,la Dreta de l'Eixample,41.38648,2.16635
4346136,20790978,Eixample,l'Antiga Esquerra de l'Eixample,41.38805,2.15878
4349376,3590196,Eixample,la Dreta de l'Eixample,41.38752,2.16612
4349572,3590196,Eixample,la Dreta de l'Eixample,41.38691,2.1663
4350592,13172148,Sants-Montjuïc,Sants - Badal,41.37252,2.12962
4354142,11936605,Eixample,la Dreta de l'Eixample,41.38972,2.16624
4357598,22062164,Horta-Guinardó,Horta,41.43593,2.15956
4358496,2729841,Horta-Guinardó,el Baix Guinardó,41.41287,2.16357
4361286,10282205,Sant Martí,el Clot,41.40976,2.19061
4364153,865887,Eixample,Sant Antoni,41.38318,2.1621
4376638,22678249,Sants-Montjuïc,Hostafrancs,41.37458,2.14344
4377798,22729779,Eixample,el Fort Pienc,41.39887,2.17619
4380483,10282205,Sant Martí,el Clot,41.4084,2.19036
4380982,3238232,Eixample,la Dreta de l'Eixample,41.39437,2.1741
4381172,22693015,Sants-Montjuïc,la Font de la Guatlla,41.36897,2.14306
4382379,7513107,Eixample,Sant Antoni,41.37869,2.16084
4383062,22756190,Eixample,la Sagrada Família,41.40944,2.17294
4383632,44384,Eixample,la Sagrada Família,41.41124,2.17508
4389803,6336105,Horta-Guinardó,la Vall d'Hebron,41.43209,2.14879
4392320,5843487,Sarrià-Sant Gervasi,les Tres Torres,41.39279,2.13054
4397696,7552966,Sants-Montjuïc,Hostafrancs,41.37221,2.14293
4398914,3296843,Sants-Montjuïc,Sants - Badal,41.37419,2.1297
4399271,1986299,Gràcia,la Vila de Gràcia,41.39781,2.1561
4400390,20296916,Sants-Montjuïc,Sants - Badal,41.37418,2.12737
4400736,1986299,Gràcia,la Vila de Gràcia,41.39788,2.15801
4406498,22874841,Sants-Montjuïc,la Bordeta,41.37055,2.13569
4409059,22886148,Eixample,la Dreta de l'Eixample,41.39513,2.1618
4413727,12385333,Sants-Montjuïc,el Poble Sec,41.37361,2.16761
4414268,22913268,Eixample,l'Antiga Esquerra de l'Eixample,41.38828,2.16198
4415694,12385333,Sants-Montjuïc,el Poble Sec,41.37376,2.16389
4415780,4990426,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40721,2.1636
4416006,22886148,Eixample,la Dreta de l'Eixample,41.39538,2.16044
4419860,5264883,Eixample,la Dreta de l'Eixample,41.39604,2.16686
4422386,9800084,Sant Martí,el Poblenou,41.39628,2.20525
4435013,23022491,Eixample,l'Antiga Esquerra de l'Eixample,41.38531,2.1568
4441916,23056142,Eixample,la Nova Esquerra de l'Eixample,41.3819,2.15207
4443747,10282205,Sant Martí,el Clot,41.40945,2.19007
4453673,23110549,Sant Martí,el Camp de l'Arpa del Clot,41.41258,2.17717
4463682,23158491,Gràcia,la Vila de Gràcia,41.40272,2.15943
4471017,16254950,Sant Martí,el Parc i la Llacuna del Poblenou,41.39167,2.18417
4481286,23251905,Sants-Montjuïc,Sants,41.37293,2.13288
4486999,3590196,Eixample,la Dreta de l'Eixample,41.38724,2.16638
4491495,4006184,Eixample,la Dreta de l'Eixample,41.39603,2.17677
4508316,23377306,Eixample,l'Antiga Esquerra de l'Eixample,41.38913,2.15836
4508556,23377306,Eixample,el Fort Pienc,41.39735,2.17916
4510063,6077392,Eixample,la Sagrada Família,41.40768,2.16977
4510252,12984056,Eixample,l'Antiga Esquerra de l'Eixample,41.39391,2.14935
4510598,21558846,Sants-Montjuïc,Sants,41.37998,2.13262
4514240,71615,Eixample,el Fort Pienc,41.39958,2.17564
4524409,9517174,Eixample,la Nova Esquerra de l'Eixample,41.38223,2.14993
4528187,3972936,Eixample,l'Antiga Esquerra de l'Eixample,41.38397,2.16094
4528856,5107063,Sant Martí,el Parc i la Llacuna del Poblenou,41.39332,2.18872
4529852,480528,Eixample,la Sagrada Família,41.40926,2.17396
4529983,23486605,Sants-Montjuïc,el Poble Sec,41.3734,2.17036
4530117,11820367,Eixample,la Dreta de l'Eixample,41.39162,2.16075
4539828,3399123,Eixample,la Dreta de l'Eixample,41.38847,2.16845
4542502,10911051,Sants-Montjuïc,la Marina del Prat Vermell,41.35194,2.14848
4543036,15387122,Sants-Montjuïc,el Poble Sec,41.37301,2.16879
4543132,15775899,Eixample,la Dreta de l'Eixample,41.39494,2.17142
4543168,2273079,Sant Martí,la Vila Olímpica del Poblenou,41.39038,2.19514
4543816,7552966,Sants-Montjuïc,Hostafrancs,41.37073,2.14244
4544081,7552966,Sants-Montjuïc,la Font de la Guatlla,41.37002,2.14413
4551448,5947431,Gràcia,la Vila de Gràcia,41.39803,2.15808
4553581,20790978,Eixample,l'Antiga Esquerra de l'Eixample,41.38584,2.16016
4556090,8936234,Sants-Montjuïc,el Poble Sec,41.37216,2.16203
4561744,4452491,Eixample,la Dreta de l'Eixample,41.39572,2.16928
